Designator,Mid X,Mid Y,Rotation,Layer
BT1,207.915,-65.405,180.0,bottom
D1,66.675,-36.83,90.0,bottom
D10,95.25,-55.88,90.0,bottom
D11,114.3,-55.88,90.0,bottom
D12,133.35,-55.88,90.0,bottom
D13,152.4,-55.88,90.0,bottom
D14,176.2125,-55.88,90.0,bottom
D15,180.975,-55.88,90.0,bottom
D16,61.9125,-74.93,90.0,bottom
D17,80.9625,-74.93,90.0,bottom
D18,100.0125,-74.93,90.0,bottom
D19,119.0625,-74.93,90.0,bottom
D2,85.725,-36.83,90.0,bottom
D20,138.1125,-74.93,90.0,bottom
D21,169.06875,-74.93,90.0,bottom
D22,180.975,-74.93,90.0,bottom
D23,71.4375,-93.98,90.0,bottom
D24,90.4875,-93.98,90.0,bottom
D25,109.5375,-93.98,90.0,bottom
D26,128.5875,-93.98,90.0,bottom
D27,154.78125,-93.98,90.0,bottom
D28,161.925,-93.98,90.0,bottom
D29,180.975,-93.98,90.0,bottom
D3,104.775,-36.83,90.0,bottom
D30,73.81875,-113.03,90.0,bottom
D31,85.725,-113.03,90.0,bottom
D32,104.775,-113.03,90.0,bottom
D33,123.825,-113.03,90.0,bottom
D34,142.875,-113.03,90.0,bottom
D35,161.925,-113.03,90.0,bottom
D36,180.975,-113.03,90.0,bottom
D4,123.825,-36.83,90.0,bottom
D5,142.875,-36.83,90.0,bottom
D6,171.45,-36.83,90.0,bottom
D7,190.5,-47.625,0.0,bottom
D8,57.15,-55.88,90.0,bottom
D9,76.2,-55.88,90.0,bottom
SW1,57.15,-38.1,180.0,top
SW10,85.725,-57.15,0.0,top
SW11,104.775,-57.15,0.0,top
SW12,123.825,-57.15,0.0,top
SW13,142.875,-57.15,0.0,top
SW14,166.6875,-57.15,0.0,top
SW15,190.5,-57.15,0.0,top
SW16,52.3875,-76.2,180.0,top
SW17,71.4375,-76.2,0.0,top
SW18,90.4875,-76.2,0.0,top
SW19,109.5375,-76.2,0.0,top
SW2,76.2,-38.1,0.0,top
SW20,128.5875,-76.2,0.0,top
SW21,159.54375,-76.2,0.0,top
SW22,190.5,-76.2,0.0,top
SW23,61.9125,-95.25,180.0,top
SW24,80.9625,-95.25,0.0,top
SW25,100.0125,-95.25,0.0,top
SW26,119.0625,-95.25,0.0,top
SW27,145.25625,-95.25,0.0,top
SW28,171.45,-95.25,0.0,top
SW29,190.5,-95.25,0.0,top
SW3,95.25,-38.1,0.0,top
SW30,64.29375,-114.3,0.0,top
SW31,95.25,-114.3,0.0,top
SW32,114.3,-114.3,0.0,top
SW33,133.35,-114.3,0.0,top
SW34,152.4,-114.3,0.0,top
SW35,171.45,-114.3,0.0,top
SW36,190.5,-114.3,0.0,top
SW4,114.3,-38.1,0.0,top
SW5,133.35,-38.1,0.0,top
SW6,161.925,-38.1,0.0,top
SW7,190.25,-38.1,0.0,top
SW8,47.625,-57.15,180.0,top
SW9,66.675,-57.15,0.0,top
SWD1,215.519,-68.463,270.0,top
U1,207.645,-46.635,0.0,top
